Workload	Config	Runtime Cycles	Walk Cycles	Non-Walk Cycles
GUPS	LP-LD	454078473314	374935567249	79142906065
GUPS	RPI-LD	1464246463601	1385396795084	78849668517
GUPS	RPI-LD+M	451685891902	373616194471	78069697431
GUPS	TLP-LD	176546347339	83117175410	93429171929
GUPS	TRPI-LD	178719969482	84245468157	94474501325
GUPS	TRPI-LD+M	178390581188	84632265006	93758316182

BTree	LP-LD	629763887928	270588539789	359175348139
BTree	RPI-LD	1277837791844	921425951433	356411840411
BTree	RPI-LD+M	619890733833	265467556358	354423177475
BTree	TLP-LD	537677051812	184822502975	352854548837
BTree	TRPI-LD	1277837791844	921425951433	356411840411
BTree	TRPI-LD+M	543322682359	184573558699	358749123660

HashJoin	LP-LD	831676234912	496798730989	334877503923
HashJoin	RPI-LD	1764448544711	1424660833070	339787711641
HashJoin	RPI-LD+M	840097692560	504204183433	335893509127
HashJoin	TLP-LD	537700229799	81638210838	456062018961
HashJoin	TRPI-LD	511851324565	82386108120	429465216445
HashJoin	TRPI-LD+M	513751772384	83851846300	429899926084

Redis	LP-LD	118963379562	33630361921	85333017641
Redis	RPI-LD	216210584399	125318779432	90891804967
Redis	RPI-LD+M	119905800964	34068654666	85837146298
Redis	TLP-LD	109686710354	28176838324	81509872030
Redis	TRPI-LD	189295731911	103082245796	86213486115
Redis	TRPI-LD+M	111454525461	28297547960	83156977501

XSBench	LP-LD	12754865509533	4413714290279	8341151219254
XSBench	RPI-LD	18814901140308	10331681404926	8483219735382
XSBench	RPI-LD+M	13022112119837	4713054593359	8309057526478
XSBench	TLP-LD	10162354357077	528672726645	9633681630432
XSBench	TRPI-LD	10415650529072	850221844058	9565428685014
XSBench	TRPI-LD+M	10244254390169	536525196001	9707729194168

PageRank	LP-LD	14779597165442	4489894622884	10289702542558
PageRank	RPI-LD	27155974071441	10967467104631	16188506966810
PageRank	RPI-LD+M	14852321180179	4526110645293	10326210534886
PageRank	TLP-LD	11255696256575	589841388583	10665854867992
PageRank	TRPI-LD	11287129914222	594267965538	10692861948684
PageRank	TRPI-LD+M	11255016785490	588290113160	10666726672330

LibLinear	LP-LD	56921029911199	5748410245536	51172619665663
LibLinear	RPI-LD	86904448382094	8313913844174	78590534537920
LibLinear	RPI-LD+M	61014252473183	6037419623958	54976832849225
LibLinear	TLP-LD	47469616009859	248980241102	47220635768757
LibLinear	TRPI-LD	46225598219466	291253972885	45934344246581
LibLinear	TRPI-LD+M	50217040687655	272743095311	49944297592344

Canneal	LP-LD	1535643224899	719284656214	816358568685
Canneal	RPI-LD	3032135407832	2329667200201	702468207631
Canneal	RPI-LD+M	1552407505591	735962098954	816445406637
Canneal	TLP-LD	1307386323993	300929268890	1006457055103
Canneal	TRPI-LD	1592558861811	592389019396	1000169842415
Canneal	TRPI-LD+M	1217590930991	209222017540	1008368913451
