Workload	Config	Runtime Cycles	Walk Cycles	Non-Walk Cycles
GUPS	LP-LD	454078473314	374935567249	79142906065
GUPS	TLP-LD	356387897073	273669519606	82718377467
GUPS	TRPI-LD	978539012393	895337042958	83201969435
GUPS	TRPI-LD+M	357411724331	274741082473	8267064185

Redis	LP-LD	118963379562	33630361921	85333017641
Redis	TLP-LD	117801502967	33298710365	84502792602
Redis	TRPI-LD	196937343105	111924380478	85012962627
Redis	TRPI-LD+M	123647455955	33620913698	90026542257

XSBench	LP-LD	12754865509533	4413714290279	8341151219254
XSBench	TLP-LD	12451750579260	4084899935724	8366850643536
XSBench	TRPI-LD	14204318235264	5220199691371	8984118543893
XSBench	TRPI-LD+M	12203400188479	3575555928769	8627844259710
