Workload	Configuration	Runtime Cycles	Walk Cycles	Non-Walk Cycles
GUPS	LP-LD	289641954406.666	263007778840.666	26634175566
GUPS	LP-RD	291916109761.333	262227296295.333	29688813466
GUPS	LP-RDI	399409060867	275493098919.333	123915961947.667
GUPS	RP-LD	461672434338.333	434895234976.666	26777199361.667
GUPS	RPI-LD	968342130137.333	941014614582.333	27327515555
GUPS	RP-RD	471373721301	442863771633	28509949668
GUPS	RPI-RDI	1003600738545.33	959536622256	44064116289.33
GUPS	TLP-LD	85372222783	60729470814.3333	24642751968.6667
GUPS	TLP-RD	105262339396.333	61288404482.6666	43973934913.6664
GUPS	TLP-RDI	269215994690.333	85809514246.6666	183406480443.666
GUPS	TRP-LD	85409388181	60500130474	24909257707
GUPS	TRPI-LD	85017445253.6666	59916913388.6666	25100531865
GUPS	TRP-RD	103405642870	60641832436.3333	42763810433.6667
GUPS	TRPI-RDI	268261095927	85040196281.6666	183220899645.333
GUPS	RPI-LD+M	287669522718.333	260964452531.333	26705070187
GUPS	TRPI-LD+M	84862090120.6666	59799594482.3333	25062495638.3333
				
BTree	LP-LD	629763887928.333	270588539789.333	359175348139
BTree	LP-RD	931196576383.666	268796831761	662399744622.666
BTree	LP-RDI	1753297451148	285422645558	1467874805590
BTree	RP-LD	817533335623	463822383942.333	353710951680.667
BTree	RPI-LD	1277837791844	921425951433.333	356411840410.667
BTree	RP-RD	1099257227259.33	467822104930.333	631435122328.997
BTree	RPI-RDI	2372841748904.66	953776912680	1419064836224.66
BTree	TLP-LD	537677051812.333	184822502975	352854548837.333
BTree	TLP-RD	843231430711.666	183889424687.666	659342006024
BTree	TLP-RDI	1617778837224	191875257736.333	1425903579487.67
BTree	TRP-LD	647951444689.666	297491319899.666	350460124790
BTree	TRPI-LD	1277837791844	921425951433.333	356411840410.667
BTree	TRP-RD	931999794220.666	301492437284.666	630507356936
BTree	TRPI-RDI	1951313348122.66	562716883802	1388596464320.66
BTree	RPI-LD+M	619890733833	265467556358	354423177475
BTree	TRPI-LD+M	543322682359.333	184573558699	358749123660.333
				
HashJoin	LP-LD	732265317055.5	500692091344.5	231573225711
HashJoin	LP-RD	1059840649484	510311274392.5	549529375091.5
HashJoin	LP-RDI	2144079636940.5	542000985937.5	1602078651003
HashJoin	RP-LD	983549388285	757853426740.5	225695961544.5
HashJoin	RPI-LD	1683342254203	1454267870330	229074383873
HashJoin	RP-RD	1295603017651	767004037861.5	528598979789.5
HashJoin	RPI-RDI	2770928737085.5	1427514650415	1343414086670.5
HashJoin	TLP-LD	422482952861	83718932056.5	338764020804.5
HashJoin	TLP-RD	770075758422	82803103407.5	687272655014.5
HashJoin	TLP-RDI	1903599141965.5	81508137508	1822091004457.5
HashJoin	TRP-LD	419889793552.5	81224324377	338665469175.5
HashJoin	TRPI-LD	420071078470.5	81147672842.5	338923405628
HashJoin	TRP-RD	747073156948	81361692133.5	665711464814.5
HashJoin	TRPI-RDI	1876987774783.5	80988768336	1795999006447.5
HashJoin	RPI-LD+M	731591279977.5	502125496997.5	229465782980
HashJoin	TRPI-LD+M	419973512986.5	80715875823.5	339257637163
				
Redis	LP-LD	116058389320.333	33693548347.3333	82364840972.9997
Redis	LP-RD	159056778979.666	33944708124.6666	125112070854.999
Redis	LP-RDI	297875705649	34063159473.6666	263812546175.333
Redis	RP-LD	148164943358.666	62177567384	85987375974.666
Redis	RPI-LD	210014393435.666	125430926260.666	84583467175
Redis	RP-RD	184492023263	62521602775.6666	121970420487.333
Redis	RPI-RDI	392142466275.166	126982048858.333	265160417416.833
Redis	TLP-LD	114233851449	28452818464.6666	85781032984.3334
Redis	TLP-RD	156846664921.666	28553280667	128293384254.666
Redis	TLP-RDI	290345313605.666	28777337629.6666	261567975975.999
Redis	TRP-LD	138283308386.666	52333683297	85949625089.666
Redis	TRPI-LD	190230681195.666	102091071175	88139610020.666
Redis	TRP-RD	177797442808	52389797903	125407644905
Redis	TRPI-RDI	361126544732.666	103366582671.666	257759962061
Redis	RPI-LD+M	117567566029.333	33522917281.6666	84044648747.6664
Redis	TRPI-LD+M	111835109600.666	28194623851.6666	83640485748.9994
				
XSBench	LP-LD	0	0	0
XSBench	LP-RD	0	0	0
XSBench	LP-RDI	0	0	0
XSBench	RP-LD	0	0	0
XSBench	RPI-LD	0	0	0
XSBench	RP-RD	0	0	0
XSBench	RPI-RDI	0	0	0
XSBench	TLP-LD	0	0	0
XSBench	TLP-RD	0	0	0
XSBench	TLP-RDI	0	0	0
XSBench	TRP-LD	0	0	0
XSBench	TRPI-LD	0	0	0
XSBench	TRP-RD	0	0	0
XSBench	TRPI-RDI	0	0	0
XSBench	RPI-LD+M	0	0	0
XSBench	TRPI-LD+M	0	0	0
				
PageRank	LP-LD	0	0	0
PageRank	LP-RD	0	0	0
PageRank	LP-RDI	0	0	0
PageRank	RP-LD	0	0	0
PageRank	RPI-LD	0	0	0
PageRank	RP-RD	0	0	0
PageRank	RPI-RDI	0	0	0
PageRank	TLP-LD	0	0	0
PageRank	TLP-RD	0	0	0
PageRank	TLP-RDI	0	0	0
PageRank	TRP-LD	0	0	0
PageRank	TRPI-LD	0	0	0
PageRank	TRP-RD	0	0	0
PageRank	TRPI-RDI	0	0	0
PageRank	RPI-LD+M	0	0	0
PageRank	TRPI-LD+M	0	0	0
								
LibLinear	LP-LD	0	0	0
LibLinear	LP-RD	0	0	0
LibLinear	LP-RDI	0	0	0
LibLinear	RP-LD	0	0	0
LibLinear	RPI-LD	0	0	0
LibLinear	RP-RD	0	0	0
LibLinear	RPI-RDI	0	0	0
LibLinear	TLP-LD	0	0	0
LibLinear	TLP-RD	0	0	0
LibLinear	TLP-RDI	0	0	0
LibLinear	TRP-LD	0	0	0
LibLinear	TRPI-LD	0	0	0
LibLinear	TRP-RD	0	0	0
LibLinear	TRPI-RDI	0	0	0
LibLinear	RPI-LD+M	0	0	0
LibLinear	TRPI-LD+M	0	0	0
								
Canneal	LP-LD	0	0	0
Canneal	LP-RD	0	0	0
Canneal	LP-RDI	0	0	0
Canneal	RP-LD	0	0	0
Canneal	RPI-LD	0	0	0
Canneal	RP-RD	0	0	0
Canneal	RPI-RDI	0	0	0
Canneal	TLP-LD	0	0	0
Canneal	TLP-RD	0	0	0
Canneal	TLP-RDI	0	0	0
Canneal	TRP-LD	0	0	0
Canneal	TRPI-LD	0	0	0
Canneal	TRP-RD	0	0	0
Canneal	TRPI-RDI	0	0	0
Canneal	RPI-LD+M	0	0	0
Canneal	TRPI-LD+M	0	0	0
