Workload	Config	Runtime Cycles	Walk Cycles	Non-Walk Cycles
Memcached	F	157311717926603	49992640240367	107319077686236
Memcached	F+M	134065251830051	35160339366543.6	98904912463507.4
Memcached	F-A	146884376207011	45756706783598	101127669423413
Memcached	F-A+M	130487988297781	34267215443738.6	96220772854042.4
Memcached	I	140357842977900	44468708977327.3	95889134000572.7
Memcached	I+M	123169054448848	33516810530445.6	89652243918402.4
Memcached	TF	142205656999176	39341587099142	102864069900034
Memcached	TF+M	125359196860938	27555411654290	97803785206648
Memcached	TF-A	121640953291819	31618380255320	90022573036499
Memcached	TF-A+M	111140176812135	24315025838177.2	86825150973957.8
Memcached	TI	89865624507470.6	10017592158918	79848032348552.6
Memcached	TI+M	88864289866630.5	9326731181036.25	79537558685594.3
				
XSBench	F	83978996322497.5	34222179737346.8	49756816585150.7
XSBench	F+M	74864931250437.3	28971107013235	45893824237202.3
XSBench	F-A	82512699652637.6	33058938712642.3	49453760939995.3
XSBench	F-A+M	73967417942663	28022390505975.3	45945027436687.7
XSBench	I	81958649562649	33472091114197.3	48486558448451.7
XSBench	I+M	74236200726134	28704791538305.6	45531409187828.4
XSBench	TF	67408160397176	23884780673075.5	43523379724100.5
XSBench	TF+M	63674971202700	21093757482224	42581213720476
XSBench	TF-A	65653742265560.3	23283561053256	42370181212304.3
XSBench	TF-A+M	62323415139245.6	20650655882079.3	41672759257166.3
XSBench	TI	45387184531843.6	7346063470487.66	38041121061355.9
XSBench	TI+M	45226223539026.6	7180845965360.66	38045377573665.9
				
Graph500	F	96701547700861	15556407030468	81145140670393
Graph500	F+M	93577340638244.5	12315215906151	81262124732093.5
Graph500	F-A	90564067285576	14912105015441.5	75651962270134.5
Graph500	F-A+M	84401048868907.3	11542290426615.3	72858758442292
Graph500	I	41800945123805.3	7973967367068	33826977756737.3
Graph500	I+M	40967122919969	7413955491307.5	33553167428661.5
Graph500	TF	92550011608918.6	655208920261	91894802688657.6
Graph500	TF+M	92631015449064.5	746870272801	91884145176263.5
Graph500	TF-A	92426065717172.6	720051406170.666	91706014311001.9
Graph500	TF-A+M	92750320720368.3	764617448928.333	91985703271440
Graph500	TI	37503855213310.3	162993853076	37340861360234.3
Graph500	TI+M	37500299435777.3	161246563743.666	37339052872033.6
				
HashJoin	F	34113762699781.5	8641913609001.25	25471849090780.2
HashJoin	F+M	31637872816338	5575528080203	26062344736135
HashJoin	F-A	34500921780251	8475365415149.33	26025556365101.7
HashJoin	F-A+M	31681307738748	5491173046349.33	26190134692398.7
HashJoin	I	19420098180062.3	5404156084842	14015942095220.3
HashJoin	I+M	18478247020961.3	4731798274155.33	13746448746806
HashJoin	TF	30222761467550.3	753416239188.333	29469345228362
HashJoin	TF+M	30246191471453.3	744551249104.666	29501640222348.6
HashJoin	TF-A	30268376510454	801637864283.666	29466738646170.3
HashJoin	TF-A+M	30251252262630	786561714481.333	29464690548148.7
HashJoin	TI	15126286137891	744076601489.333	14382209536401.7
HashJoin	TI+M	15107470157906.3	740793825459.333	14366676332447
				
Canneal	F	371469811387778	141115780565824	230354030821954
Canneal	F+M	277505512034068	84542440570085	192963071463983
Canneal	F-A	297886775064419	117972819236834	179913955827585
Canneal	F-A+M	240292840789640	79821309352524	160471531437116
Canneal	I	254474542286029	99284526825587	155190015460442
Canneal	I+M	220263187075247	76257711852349	144005475222898
Canneal	TF	301053004836448	81400364167387	219652640669061
Canneal	TF+M	264173441324399	53074184313971	211099257010428
Canneal	TF-A	276549925992012	75739183482097	200810742509915
Canneal	TF-A+M	211869837982549	50192179574280	161677658408269
Canneal	TI	203869968135119	58587505445082	145282462690037
Canneal	TI+M	186445357557371	46843317032193	139602040525178
				
BTree	F	178056876716519	30529156303554	147527720412965
BTree	F+M	171622131268598	26203841661311	145418289607287
BTree	F-A	194917342120755	33219145988686	161698196132069
BTree	F-A+M	190790644822982	28688320583777	162102324239205
BTree	I	177249500538068	30278244209709	146971256328359
BTree	I+M	173085069239525	26311316511335	146773752728190
BTree	TF	172594198657517	26897810975974	145696387681543
BTree	TF+M	167219647007281	23365711668394	143853935338887
BTree	TF-A	193671973417045	27858458815897	165813514601148
BTree	TF-A+M	180286608168025	23302908673045	156983699494980
BTree	TI	171508744059342	23937451271898	147571292787444
BTree	TI+M	166700340811004	21543193174450	145157147636554
