		Page-walk	Execution	Std. Dev.	Norm. Perf.
LR	L	0.054768	0.945232	0.000000	1.000000
	LM	0.033087	0.856714	0.000000	0.889801
CANNEAL	L	0.379885	0.620115	0.000000	1.000000
	LM	0.227589	0.519458	0.000000	0.747047
	LA	0.317584	0.484330	0.000000	0.801914
	LAM	0.214880	0.431991	0.000000	0.646870
	I	0.267275	0.417773	0.000000	0.685048
	IM	0.205286	0.387664	0.000000	0.592950
	T-L	0.219130	0.591307	0.000000	0.810437
	T-LM	0.142876	0.568281	0.000000	0.711157
	T-LA	0.203891	0.540584	0.000000	0.744475
	T-LAM	0.135118	0.435238	0.000000	0.570355
	T-I	0.157718	0.391102	0.000000	0.548820
	T-IM	0.126103	0.375810	0.000000	0.501913
BTREE	L	0.171457	0.828543	0.021975	1.000000
	LM	0.147166	0.816696	0.003446	0.963861
	LA	0.186565	0.908127	0.016109	1.094691
	LAM	0.161119	0.910396	0.008699	1.071515
	I	0.170048	0.825417	0.000631	0.995466
	IM	0.147769	0.824308	0.020510	0.972077
	T-L	0.151063	0.818258	0.029360	0.969321
	T-LM	0.131226	0.807910	0.006533	0.939136
	T-LA	0.156458	0.931239	0.091093	1.087697
	T-LAM	0.130873	0.881649	0.000000	1.012523
	T-I	0.134437	0.828787	0.000202	0.963224
	T-IM	0.120991	0.815229	0.001620	0.936220
