		Page-walk	Execution	Std. Dev.	Norm. Perf.
GUPS	LPLD	0.825707	0.174293	0.013623	1.000000
	T-LPLD	0.602692	0.182168	0.345221	0.784860
	T-RPILD	1.971767	0.183233	1.533040	2.155000
	T-RPIM	0.605052	0.182062	0.347855	0.787114
BTREE	LPLD	0.384928	0.615072	0.011039	1.000000
	T-LPLD	0.349711	0.636998	0.046693	0.986710
	T-RPILD	1.284376	0.620250	0.001424	1.904626
	T-RPIM	0.382469	0.620844	0.011044	1.003313
HASHJOIN	LPLD	0.597346	0.402654	0.014560	1.000000
	T-LPLD	0.454869	0.467386	0.269958	0.922256
	T-RPILD	1.065552	0.454944	0.785812	1.520495
	T-RPIM	0.562857	0.418383	0.007025	0.981240
REDIS	LPLD	0.282695	0.717305	0.027353	1.000000
	T-LPLD	0.279907	0.710326	0.034346	0.990233
	T-RPILD	0.940831	0.714615	0.144540	1.655445
	T-RPIM	0.282616	0.756758	0.040598	1.039374
XSBENCH	LPLD	0.346042	0.653958	0.024033	1.000000
	T-LPLD	0.320262	0.655973	0.032020	0.976235
	T-RPILD	0.409271	0.704368	0.422742	1.113639
	T-RPIM	0.280329	0.676436	0.003152	0.956764
PAGERANK	LPLD	0.303790	0.696210	0.000283	1.000000
	T-LPLD	0.156402	0.723335	0.168209	0.879736
	T-RPILD	0.388532	0.940493	0.799886	1.329024
	T-RPIM	0.159592	0.727848	0.175980	0.887439
LR	LPLD	0.100989	0.899011	0.108088	1.000000
	T-LPLD	0.045015	0.733153	0.012827	0.778168
	T-RPILD	0.072856	1.120979	0.413795	1.193835
	T-RPIM	0.055360	0.866978	0.214348	0.922338
CANNEAL	LPLD	0.468393	0.531607	0.000000	1.000000
	T-LPLD	0.475803	0.540270	0.000000	1.016073
	T-RPILD	1.250625	0.495274	0.000000	1.745898
	T-RPIM	0.385402	0.549832	0.000000	0.935234
