		Page-walk	Execution	Std. Dev.	Norm. Perf.
GUPS	LPLD	0.825707	0.174293	0.013623	1.000000
	LPRD	0.828417	0.217870	0.000389	1.046287
	LPRDI	0.889278	1.059431	0.016938	1.948709
	RPLD	1.359047	0.172407	0.007598	1.531455
	RPILD	3.051007	0.173648	0.013435	3.224655
	RPRD	1.384797	0.203319	0.018860	1.588116
	RPIRDI	3.297144	0.565385	0.016849	3.862528
	RPM	0.834390	0.173737	0.012997	1.008127
	RPIM	0.822801	0.171930	0.021336	0.994731
	T-LPLD	0.183046	0.205756	0.005393	0.388801
	T-LPRD	0.187107	0.320862	0.000784	0.507969
	T-LPRDI	0.303763	1.114344	0.001303	1.418107
	T-RPLD	0.181795	0.205132	0.001559	0.386927
	T-RPILD	0.185531	0.208058	0.012325	0.393588
	T-RPRD	0.189769	0.322922	0.012077	0.512691
	T-RPIRDI	0.306331	1.123764	0.029649	1.430095
	T-RPM	0.182598	0.203816	0.003195	0.386414
	T-RPIM	0.186382	0.206480	0.011133	0.392863
BTREE	LPLD	0.384928	0.615072	0.011039	1.000000
	LPRD	0.386858	1.048862	0.001501	1.435720
	LPRDI	0.395208	2.374726	0.002302	2.769934
	RPLD	0.668437	0.619526	0.016364	1.287963
	RPILD	1.355682	0.617810	0.003333	1.973492
	RPRD	0.664660	1.058290	0.014744	1.722950
	RPIRDI	1.370629	2.364782	0.031199	3.735411
	RPM	0.383639	0.613083	0.000445	0.996722
	RPIM	0.387069	0.616537	0.011057	1.003606
HASHJOIN	LPLD	0.597346	0.402654	0.014560	1.000000
	LPRD	0.601656	0.793247	0.001696	1.394904
	LPRDI	0.652729	2.175942	0.002181	2.828672
	RPLD	0.876105	0.404219	0.003034	1.280324
	RPILD	1.712999	0.408558	0.015915	2.121557
	RPRD	0.876496	0.795699	0.004101	1.672195
	RPIRDI	1.804468	1.861403	0.018819	3.665871
	RPM	0.598056	0.402045	0.004215	1.000101
	RPIM	0.606251	0.403875	0.015907	1.010126
	T-LPLD	0.098161	0.548365	0.037947	0.646526
	T-LPRD	0.078608	0.721964	0.419482	0.800572
	T-LPRDI	0.101932	2.456180	0.114540	2.558113
	T-RPLD	0.098714	0.516305	0.000702	0.615018
	T-RPILD	0.099060	0.516385	0.002311	0.615445
	T-RPRD	0.097562	0.920883	0.010089	1.018445
	T-RPIRDI	0.101059	2.381003	0.003613	2.482062
	T-RPM	0.099710	0.515876	0.000211	0.615586
	T-RPIM	0.100823	0.516908	0.002467	0.617730
REDIS	LPLD	0.282695	0.717305	0.027353	1.000000
	LPRD	0.287129	1.021285	0.055313	1.308413
	LPRDI	0.290395	2.305667	0.093884	2.596062
	RPLD	0.511247	0.777244	0.031104	1.288491
	RPILD	1.053423	0.764032	0.039230	1.817455
	RPRD	0.515394	1.022521	0.056987	1.537914
	RPIRDI	1.128864	2.366245	0.027165	3.495109
	RPM	0.285564	0.735204	0.000106	1.020769
	RPIM	0.286379	0.721543	0.027692	1.007922
	T-LPLD	0.236853	0.685168	0.002218	0.922021
	T-LPRD	0.239173	1.017224	0.056640	1.256396
	T-LPRDI	0.240375	2.138533	0.106622	2.378908
	T-RPLD	0.428224	0.703251	0.027980	1.131474
	T-RPILD	0.866504	0.724706	0.034824	1.591210
	T-RPRD	0.427591	1.020980	0.055646	1.448572
	T-RPIRDI	0.891501	2.154803	0.103044	3.046304
	T-RPM	0.239729	0.716680	0.028077	0.956409
	T-RPIM	0.237868	0.699013	0.027128	0.936881
XSBENCH	LPLD	0.346042	0.653958	0.024033	1.000000
	LPRD	0.339311	1.441124	0.007816	1.780435
	LPRDI	0.331826	3.215039	0.012577	3.546865
	RPLD	0.447698	0.638486	0.021363	1.086184
	RPILD	0.810019	0.665097	0.139453	1.475116
	RPRD	0.494279	1.369742	0.030397	1.864020
	RPIRDI	0.968630	3.052796	0.030452	4.021426
	RPM	0.368260	0.651617	0.016874	1.019877
	RPIM	0.369510	0.651442	0.008396	1.020953
	T-LPLD	0.041449	0.755295	0.001778	0.796743
	T-LPRD	0.041196	1.706619	0.001030	1.747815
	T-LPRDI	0.043146	3.288751	0.009577	3.331897
	T-RPLD	0.046764	0.757012	0.001734	0.803776
	T-RPILD	0.066659	0.749944	0.002661	0.816602
	T-RPRD	0.053686	1.692097	0.006454	1.745783
	T-RPIRDI	0.070521	3.291515	0.012293	3.362036
	T-RPM	0.041773	0.759684	0.001065	0.801457
	T-RPIM	0.042064	0.761100	0.002808	0.803164
PAGERANK	LPLD	0.303790	0.696210	0.000283	1.000000
	LPRD	0.335687	0.957791	0.000274	1.293479
	LPRDI	0.356416	2.669387	0.001984	3.025803
	RPLD	0.417924	0.780415	0.003989	1.198338
	RPILD	0.742068	1.095328	0.015306	1.837396
	RPRD	0.488850	1.029744	0.003241	1.518594
	RPIRDI	0.969052	2.747321	0.013535	3.716373
	RPM	0.304763	0.697851	0.000777	1.002614
	RPIM	0.306240	0.698680	0.000850	1.004921
	T-LPLD	0.039909	0.721661	0.000361	0.761570
	T-LPRD	0.040634	1.095140	0.000607	1.135774
	T-LPRDI	0.041120	2.739967	0.004377	2.781087
	T-RPLD	0.039598	0.723895	0.000157	0.763493
	T-RPILD	0.040209	0.723488	0.000327	0.763697
	T-RPRD	0.041288	1.096541	0.000969	1.137828
	T-RPIRDI	0.041655	2.749608	0.005112	2.791263
	T-RPM	0.040004	0.723600	0.000020	0.763605
	T-RPIM	0.039804	0.721720	0.000463	0.761524
LR	LPLD	0.100989	0.899011	0.108088	1.000000
	LPRD	0.152850	1.526976	0.159878	1.679826
	LPRDI	0.181645	2.190710	0.205165	2.372354
	RPLD	0.103467	0.969114	0.148898	1.072581
	RPILD	0.146060	1.380694	0.130795	1.526755
	RPRD	0.180277	1.564375	0.164906	1.744652
	RPIRDI	0.294468	2.835448	0.165977	3.129916
	RPM	0.114585	0.991176	0.039775	1.105761
	RPIM	0.106067	0.965844	0.118375	1.071911
	T-LPLD	0.004374	0.829582	0.024416	0.833956
	T-LPRD	0.006188	1.691748	0.018812	1.697936
	T-LPRDI	0.008716	2.699905	0.045590	2.708622
	T-RPLD	0.004896	0.850895	0.070893	0.855791
	T-RPILD	0.005117	0.806984	0.126035	0.812101
	T-RPRD	0.006419	1.673451	0.032243	1.679870
	T-RPIRDI	0.009747	2.640672	0.133332	2.650419
	T-RPM	0.004718	0.886314	0.109795	0.891032
	T-RPIM	0.004792	0.877431	0.101749	0.882223
CANNEAL	LPLD	0.468393	0.531607	0.000000	1.000000
	LPRD	0.488028	1.026708	0.000000	1.514736
	LPRDI	0.496094	2.857947	0.000000	3.354041
	RPLD	0.752543	0.481061	0.000000	1.233604
	RPILD	1.517063	0.457442	0.000000	1.974505
	RPRD	0.793855	0.868967	0.000000	1.662822
	RPIRDI	1.641601	2.232344	0.000000	3.873945
	RPM	0.483833	0.536926	0.000990	1.020759
	RPIM	0.479253	0.531663	0.005170	1.010917
	T-LPLD	0.195963	0.655398	0.051607	0.851361
	T-LPRD	0.198326	1.117297	0.051987	1.315623
	T-LPRDI	0.167388	2.868445	0.048439	3.035833
	T-RPLD	0.274508	0.650401	0.051496	0.924908
	T-RPILD	0.385760	0.651304	0.009259	1.037063
	T-RPRD	0.242216	1.106471	0.061905	1.348687
	T-RPIRDI	0.506577	2.807482	0.029552	3.314060
	T-RPM	0.166769	0.656925	0.052279	0.823695
	T-RPIM	0.136244	0.656643	0.002112	0.792887
